old_path,old_section,title,words,has_frontmatter,last_reviewed,source_type,status_field,mermaid_count,ascii_art_suspected,inferred_doc_type,dup_cluster,notes
docs/about.md,root,About & Site Guide,433,True,2026-07-10,native-md,current,0,False,guide,,
docs/agentic-systems/config/enterprise-agentic-ai-config-management-2026.md,agentic-systems,Enterprise Configuration & Parameter Management for Agentic AI Platforms on AWS,13267,True,2026-07-11,converted-pdf,current,0,False,guide,,
docs/agentic-systems/config/index.md,agentic-systems,Configuration Management,31,True,2026-07-10,native-md,current,0,False,hub,,
docs/agentic-systems/harness/Harness_BestPractices_AntiPatterns_Roadmap.md,agentic-systems,"Harness: Best Practices, Anti-Patterns & Roadmap",1485,True,2026-07-11,converted-pdf,current,0,False,anti-pattern,,topic-overlap:anti-patterns
docs/agentic-systems/harness/Harness_Engineering_AI_Agents_and_Vendor_Landscape.md,agentic-systems,Harness: Engineering AI Agents & Vendor Landscape,2387,True,2026-07-11,converted-pdf,current,0,False,guide,,
docs/agentic-systems/harness/Harness_Engineering_Research_Report.md,agentic-systems,Harness Engineering Research Report,2785,True,2026-07-11,converted-pdf,current,0,False,guide,,
docs/agentic-systems/harness/Harness_Interview_Question_Bank.md,agentic-systems,Harness Interview Question Bank,1381,True,2026-07-11,converted-pdf,current,0,False,career,,topic-overlap:interview-content
docs/agentic-systems/harness/Harness_Security_SupplyChain_Observability.md,agentic-systems,"Harness: Security, Supply Chain & Observability",1090,True,2026-07-11,converted-pdf,current,0,False,guide,,topic-overlap:security;topic-overlap:observability
docs/agentic-systems/harness/index.md,agentic-systems,Harness — Agentic AI Engineering,98,True,2026-07-10,native-md,current,0,False,hub,,
docs/agentic-systems/index.md,agentic-systems,Agentic AI Systems,197,True,2026-07-10,native-md,current,0,False,hub,,
docs/agentic-systems/memory/AI_Memory_Agent_Innovations_Research_Report.md,agentic-systems,AI Memory Agent Innovations Research Report,4604,True,2026-07-11,converted-pdf,current,0,False,guide,,topic-overlap:memory
docs/agentic-systems/memory/index.md,agentic-systems,Agent Memory,66,True,2026-07-10,native-md,current,0,False,hub,,topic-overlap:memory
docs/agentic-systems/platform/Enterprise_PromptOps_AWS_AgentCore_2026.md,agentic-systems,Enterprise PromptOps: Prompt Lifecycle Management for AWS AgentCore Runtime,11267,True,2026-07-11,converted-pdf,current,0,False,guide,,
docs/agentic-systems/platform/MultiTenantAgentPlatform_Architecture.md,agentic-systems,Multi-Tenant Agent Platform Architecture,3897,True,2026-07-11,converted-pdf,current,0,False,guide,,
docs/agentic-systems/platform/agentic_platform_bestpractices.md,agentic-systems,Enterprise Agentic Platform Best Practices,7152,True,2026-07-10,converted-pdf,current,0,True,guide,,
docs/agentic-systems/platform/ai-msf-requirements-runbook.md,agentic-systems,AI-MSF PoC — Shared Requirements & Agent Runbook,2801,True,2026-07-11,converted-pdf,current,0,False,guide,,
docs/agentic-systems/platform/ai-platform-factory-runbook-v2.md,agentic-systems,AI Platform Factory Runbook v2,4881,True,2026-07-11,converted-pdf,current,0,False,guide,,
docs/agentic-systems/platform/enterprise-agentic-ai-asset-management-2026.md,agentic-systems,Enterprise Agentic AI Asset Management 2026,7805,True,2026-07-11,converted-pdf,current,0,False,research-report,,
docs/agentic-systems/platform/genaiaf-prompt-lifecycle-hotswap-research-2026.md,agentic-systems,"GENAIAF-559: Prompt Lifecycle, Versioning & Hot-Swap Research 2026",6216,True,2026-07-11,converted-pdf,current,0,False,research-report,,
docs/agentic-systems/platform/index.md,agentic-systems,Agentic AI Platform,64,True,2026-07-10,native-md,current,0,False,hub,,
docs/agentic-systems/skill/00-executive-summary-and-reference-architecture.md,agentic-systems,Agent Skills for AI Coding Assistants — Executive Summary & Reference Architecture,2168,True,2026-07-10,native-md,current,0,True,reference-architecture,,
docs/agentic-systems/skill/Agent_Skills_Complete_Playbook_2026.md,agentic-systems,Agent Skills & Skill Registries — Complete Playbook 2026,4783,True,2026-07-17,converted-pdf,current,0,False,guide,,
docs/agentic-systems/skill/a2a_deep_research.md,agentic-systems,A2A Protocol: Deep Research & Critical Analysis,6383,True,2026-07-17,converted-html,current,0,False,guide,,
docs/agentic-systems/skill/coding/01-foundations-what-is-a-coding-skill.md,agentic-systems,Foundations: What Is a Coding Skill?,1579,True,2026-07-10,native-md,current,0,False,guide,,
docs/agentic-systems/skill/coding/02-skill-anatomy-and-metadata-schema.md,agentic-systems,Skill Anatomy & Metadata Schema,1209,True,2026-07-10,native-md,current,0,True,guide,,
docs/agentic-systems/skill/coding/03-discovery-and-execution-lifecycle.md,agentic-systems,Skill Discovery & Execution Lifecycle,1148,True,2026-07-10,native-md,current,0,True,guide,,
docs/agentic-systems/skill/coding/04-skills-tools-mcp-relationship.md,agentic-systems,Skills vs. MCP & the Full Responsibility Stack,972,True,2026-07-10,native-md,current,0,True,guide,,topic-overlap:mcp
docs/agentic-systems/skill/coding/05-tool-definitions-and-instructions-engineering.md,agentic-systems,Tool Definitions & Instructions Engineering,1420,True,2026-07-10,native-md,current,0,False,guide,,
docs/agentic-systems/skill/coding/06-repository-context-engineering.md,agentic-systems,Repository Context Engineering,973,True,2026-07-10,native-md,current,0,True,guide,,
docs/agentic-systems/skill/coding/07-vscode-devcontainers-integration.md,agentic-systems,VS Code & Dev Containers Integration,1252,True,2026-07-10,native-md,current,0,True,guide,,
docs/agentic-systems/skill/coding/08-mcp-integration-and-memory.md,agentic-systems,MCP Integration & Memory,1144,True,2026-07-10,native-md,current,0,False,guide,,topic-overlap:mcp;topic-overlap:memory
docs/agentic-systems/skill/coding/09-multi-agent-and-observability.md,agentic-systems,Multi-Agent Skills & Observability,1139,True,2026-07-10,native-md,current,0,True,guide,,topic-overlap:observability
docs/agentic-systems/skill/coding/10-governance-and-security.md,agentic-systems,Governance & Security,1626,True,2026-07-10,native-md,current,0,True,guide,,topic-overlap:security
docs/agentic-systems/skill/coding/11-evaluation-reusability-deduplication.md,agentic-systems,"Evaluation, Reusability & Deduplication",1335,True,2026-07-10,native-md,current,0,False,guide,,
docs/agentic-systems/skill/coding/12-enterprise-workflows-comparative-analysis-and-patterns.md,agentic-systems,Enterprise Workflows & Comparative Analysis,1681,True,2026-07-10,native-md,current,0,False,guide,,
docs/agentic-systems/skill/coding/index.md,agentic-systems,Coding Assistant Skills Research,711,True,2026-07-10,native-md,current,0,False,hub,,
docs/agentic-systems/skill/enterprise/01-foundations-what-is-an-agent-skill.md,agentic-systems,Foundations: What Is an Agent Skill?,1563,True,2026-07-10,native-md,current,0,False,guide,,
docs/agentic-systems/skill/enterprise/02-skill-anatomy-and-metadata-schema.md,agentic-systems,Skill Anatomy & Metadata Schema,146,True,2026-07-12,native-md,current,0,False,guide,,
docs/agentic-systems/skill/enterprise/03-execution-lifecycle-and-tracing.md,agentic-systems,Skill Execution Lifecycle & Tracing,963,True,2026-07-10,native-md,current,0,True,guide,,
docs/agentic-systems/skill/enterprise/04-skills-tools-mcp-a2a-relationship.md,agentic-systems,"Skills, Tools, MCP & A2A Relationship",1036,True,2026-07-10,native-md,current,0,True,guide,,topic-overlap:mcp
docs/agentic-systems/skill/enterprise/05-tool-definition-best-practices.md,agentic-systems,Tool Definition Best Practices,1254,True,2026-07-10,native-md,current,0,False,guide,,
docs/agentic-systems/skill/enterprise/06-registry-discovery-and-deduplication.md,agentic-systems,"Registry, Discovery & Deduplication",1140,True,2026-07-10,native-md,current,0,True,guide,,
docs/agentic-systems/skill/enterprise/07-composition-and-instructions-engineering.md,agentic-systems,Skill Composition & Instructions Engineering,1403,True,2026-07-10,native-md,current,0,True,guide,,
docs/agentic-systems/skill/enterprise/08-observability-and-evaluation.md,agentic-systems,Observability & Evaluation,1251,True,2026-07-10,native-md,current,0,True,guide,,topic-overlap:observability
docs/agentic-systems/skill/enterprise/09-security-architecture.md,agentic-systems,Security Architecture,1424,True,2026-07-10,native-md,current,0,True,guide,,topic-overlap:security
docs/agentic-systems/skill/enterprise/10-governance-and-lifecycle.md,agentic-systems,Governance & Lifecycle,1043,True,2026-07-10,native-md,current,0,True,guide,,
docs/agentic-systems/skill/enterprise/11-architecture-patterns-antipatterns-and-case-studies.md,agentic-systems,"Architecture Patterns, Anti-Patterns & Case Studies",2226,True,2026-07-10,native-md,current,0,False,anti-pattern,,topic-overlap:anti-patterns
docs/agentic-systems/skill/enterprise/index.md,agentic-systems,Enterprise Agent Skills Research,606,True,2026-07-10,native-md,current,0,False,hub,,
docs/agentic-systems/skill/index.md,agentic-systems,Agent Skills,1578,True,2026-07-10,native-md,current,0,False,hub,,
docs/agentic-ui/agent-ux-patterns.md,agentic-ui,Agent UX Patterns,8499,True,2026-07-10,native-md,current,0,True,guide,,
docs/agentic-ui/agui-standards-landscape.md,agentic-ui,AGUI Standards & Ecosystem Landscape,8589,True,2026-07-10,native-md,current,0,True,guide,,
docs/agentic-ui/anti-patterns.md,agentic-ui,Anti-pattern Catalog for Agentic Applications,11581,True,2026-07-10,native-md,current,0,False,anti-pattern,,topic-overlap:anti-patterns
docs/agentic-ui/application-lifecycle.md,agentic-ui,Agentic Application Lifecycle,8655,True,2026-07-10,native-md,current,0,True,guide,,
docs/agentic-ui/context-engineering.md,agentic-ui,Context Engineering for Agentic Applications,3265,True,2026-07-10,native-md,current,0,True,guide,,
docs/agentic-ui/decision-frameworks.md,agentic-ui,Decision Frameworks,16,True,2026-07-10,native-md,current,0,False,guide,,
docs/agentic-ui/devsecops.md,agentic-ui,DevSecOps for Agentic Applications,4147,True,2026-07-10,native-md,current,0,True,guide,,
docs/agentic-ui/enterprise-reference-architecture.md,agentic-ui,Enterprise Reference Architecture,4639,True,2026-07-10,native-md,current,0,True,reference-architecture,,
docs/agentic-ui/evaluation-framework.md,agentic-ui,Evaluation Framework for Agentic Applications,10321,True,2026-07-10,native-md,current,0,True,guide,,known-dup:eval-framework
docs/agentic-ui/evolution-human-ai-interfaces.md,agentic-ui,Evolution of Human-AI Interfaces,7556,True,2026-07-10,native-md,current,0,True,guide,,
docs/agentic-ui/future-outlook.md,agentic-ui,Future Outlook: Agentic UI 2026–2030,3124,True,2026-07-10,native-md,current,0,False,guide,,
docs/agentic-ui/governance.md,agentic-ui,Governance for Agentic Applications,11025,True,2026-07-10,native-md,current,0,True,guide,,
docs/agentic-ui/identity-auth-architecture.md,agentic-ui,Identity & Auth Architecture,2875,True,2026-07-10,native-md,current,0,True,guide,,
docs/agentic-ui/index.md,agentic-ui,Agentic UI & Applications,2066,True,2026-07-10,native-md,current,0,True,hub,,
docs/agentic-ui/industry-reference-architectures.md,agentic-ui,Industry Reference Architectures for Agentic Applications,4147,True,2026-07-10,native-md,current,0,True,reference-architecture,,
docs/agentic-ui/observability.md,agentic-ui,Observability for Agentic Applications,6705,True,2026-07-10,native-md,current,0,True,guide,,topic-overlap:observability
docs/agentic-ui/performance-engineering.md,agentic-ui,Performance Engineering for Agentic Applications,6576,True,2026-07-10,native-md,current,0,True,guide,,
docs/agentic-ui/reliability-engineering.md,agentic-ui,Reliability Engineering for Agentic Applications,8934,True,2026-07-10,native-md,current,0,True,guide,,
docs/agentic-ui/responsible-ai.md,agentic-ui,Responsible AI for Agentic Applications,8379,True,2026-07-10,native-md,current,0,True,guide,,
docs/agentic-ui/scalability-engineering.md,agentic-ui,Scalability Engineering for Agentic Applications,6564,True,2026-07-10,native-md,current,0,True,guide,,
docs/agentic-ui/security-architecture.md,agentic-ui,Security Architecture,3370,True,2026-07-10,native-md,current,0,True,guide,,topic-overlap:security
docs/ai-development/aidlc/AIDLC_Agile_CICD_AI_Transformation_2026.md,ai-development,"AIDLC, Agile & CI/CD — AI Transformation 2026",5089,True,2026-07-10,pdf-converted,current,0,False,guide,,
docs/ai-development/aidlc/AIDLC_Artifact_Reference_Library.md,ai-development,AIDLC Artifact Reference Library — Templates & Examples,386,True,2026-07-17,pdf-converted,current,0,False,guide,,known-dup:aidlc-artifact-library
docs/ai-development/aidlc/AIDLC_Artifact_Reference_Library_Part1_Discovery_to_Model_Design.md,ai-development,AIDLC Lifecycle Artifacts: Discovery Through Model Design,2713,True,2026-07-17,pdf-converted,current,0,False,guide,,known-dup:aidlc-artifact-library
docs/ai-development/aidlc/AIDLC_Artifact_Reference_Library_Part2_Development_to_Retirement.md,ai-development,AIDLC Lifecycle Artifacts: Development Through Retirement,2254,True,2026-07-17,pdf-converted,current,0,False,guide,,known-dup:aidlc-artifact-library
docs/ai-development/aidlc/AIDLC_Artifact_Reference_Library_Part3_TOGAF_Foundation_to_Technology.md,ai-development,TOGAF ADM Artifact Templates: Foundation Through Technology,4285,True,2026-07-17,pdf-converted,current,0,False,guide,,known-dup:aidlc-artifact-library
docs/ai-development/aidlc/AIDLC_Artifact_Reference_Library_Part4_TOGAF_Migration_to_EA_CrossCutting.md,ai-development,TOGAF ADM Artifact Templates: Migration Through EA Cross-Cutting,2888,True,2026-07-17,pdf-converted,current,0,False,guide,,known-dup:aidlc-artifact-library
docs/ai-development/aidlc/AIDLC_Enterprise_Framework_2025.md,ai-development,AIDLC Enterprise Framework,5623,True,2026-07-10,pdf-converted,current,0,False,guide,,
docs/ai-development/aidlc/Agile_in_the_Age_of_Agentic_AI_2026.md,ai-development,Agile in the Age of Agentic AI,5821,True,2026-07-10,pdf-converted,current,0,False,guide,,
docs/ai-development/aidlc/EA_AIDLC_Deep_Research_2026.md,ai-development,Impact of AIDLC on Enterprise Architecture — The AI Tooling Revolution,5782,True,2026-07-10,pdf-converted,current,0,False,guide,,
docs/ai-development/aidlc/index.md,ai-development,AIDLC — AI-Driven Development Lifecycle,250,True,2026-07-16,native-md,current,0,False,hub,,
docs/ai-development/index.md,ai-development,AI Development,17,True,2026-07-10,native-md,current,0,False,hub,,
docs/ai-development/testing/AI_Agent_Evaluation_Framework_Complete.md,ai-development,Complete AI Agent Evaluation Framework,9194,True,2026-07-16,pdf-converted,current,0,True,guide,,known-dup:eval-framework
docs/ai-development/testing/AI_Agent_Evaluation_Framework_Guide.md,ai-development,AI Agent Evaluation Framework Guide (Original PDF — superseded),85,True,2026-07-14,pdf-converted,archived,0,False,guide,,known-dup:eval-framework
docs/ai-development/testing/Agent_Testing_Monitoring_Evaluation.md,ai-development,"Agent Testing, Monitoring & Evaluation",6408,True,2026-07-13,pdf-converted,current,0,False,guide,,
