old_path,disposition,target_topic_id,target_path,wave,rationale
docs/about.md,MERGE-INTO,wiki-governance,docs/architecture/00-wiki-governance.md,2,Old site-guide content folds into the existing wiki-governance canonical (docs/architecture/00-wiki-governance.md).
docs/agentic-systems/config/enterprise-agentic-ai-config-management-2026.md,MIGRATE,enterprise-agentic-ai-config-management-2026,docs/agentic-systems/core/02-enterprise-agentic-ai-config-management-2026.md,3,Section default (agentic-systems -> agentic-systems).
docs/agentic-systems/config/index.md,MERGE-INTO,hub-agentic-systems,docs/agentic-systems/index.md,3,Nested section/subfolder index; one hub per domain rule — folds into hub-agentic-systems.
docs/agentic-systems/harness/Harness_BestPractices_AntiPatterns_Roadmap.md,MIGRATE,harness-bestpractices-antipatterns-roadmap,docs/agentic-systems/core/03-harness-bestpractices-antipatterns-roadmap.md,3,Section default (agentic-systems -> agentic-systems).
docs/agentic-systems/harness/Harness_Engineering_AI_Agents_and_Vendor_Landscape.md,MIGRATE,harness-engineering-ai-agents-and-vendor-landscape,docs/agentic-systems/core/04-harness-engineering-ai-agents-and-vendor-landscape.md,3,Section default (agentic-systems -> agentic-systems).
docs/agentic-systems/harness/Harness_Engineering_Research_Report.md,MIGRATE,harness-engineering-research-report,docs/agentic-systems/core/05-harness-engineering-research-report.md,3,Section default (agentic-systems -> agentic-systems).
docs/agentic-systems/harness/Harness_Interview_Question_Bank.md,TRACK,interview-harness-question-bank,docs/career/30-interview-harness-question-bank.md,8,Interview-prep content -> career track per doctrine (reviewer-audit fix).
docs/agentic-systems/harness/Harness_Security_SupplyChain_Observability.md,MIGRATE,harness-security-supplychain-observability,docs/agentic-systems/core/06-harness-security-supplychain-observability.md,3,Section default (agentic-systems -> agentic-systems).
docs/agentic-systems/harness/index.md,MERGE-INTO,hub-agentic-systems,docs/agentic-systems/index.md,3,Nested section/subfolder index; one hub per domain rule — folds into hub-agentic-systems.
docs/agentic-systems/index.md,MERGE-INTO,hub-agentic-systems,docs/agentic-systems/index.md,3,Nested section/subfolder index; one hub per domain rule — folds into hub-agentic-systems.
docs/agentic-systems/memory/AI_Memory_Agent_Innovations_Research_Report.md,MIGRATE,ai-memory-agent-innovations-research-report,docs/agentic-systems/core/07-ai-memory-agent-innovations-research-report.md,3,Section default (agentic-systems -> agentic-systems).
docs/agentic-systems/memory/index.md,MERGE-INTO,hub-agentic-systems,docs/agentic-systems/index.md,3,Nested section/subfolder index; one hub per domain rule — folds into hub-agentic-systems.
docs/agentic-systems/platform/Enterprise_PromptOps_AWS_AgentCore_2026.md,MIGRATE,enterprise-promptops-aws-agentcore-2026,docs/agentic-systems/core/08-enterprise-promptops-aws-agentcore-2026.md,3,Section default (agentic-systems -> agentic-systems).
docs/agentic-systems/platform/MultiTenantAgentPlatform_Architecture.md,MIGRATE,multitenantagentplatform-architecture,docs/agentic-systems/core/09-multitenantagentplatform-architecture.md,3,Section default (agentic-systems -> agentic-systems).
docs/agentic-systems/platform/agentic_platform_bestpractices.md,MIGRATE,agentic-platform-bestpractices,docs/agentic-systems/core/10-agentic-platform-bestpractices.md,3,Section default (agentic-systems -> agentic-systems).
docs/agentic-systems/platform/ai-msf-requirements-runbook.md,MIGRATE,ai-msf-requirements-runbook,docs/agentic-systems/core/11-ai-msf-requirements-runbook.md,3,Section default (agentic-systems -> agentic-systems).
docs/agentic-systems/platform/ai-platform-factory-runbook-v2.md,MIGRATE,ai-platform-factory-runbook,docs/agentic-systems/core/12-ai-platform-factory-runbook.md,3,Section default (agentic-systems -> agentic-systems).
docs/agentic-systems/platform/enterprise-agentic-ai-asset-management-2026.md,MIGRATE,enterprise-agentic-ai-asset-management-2026,docs/agentic-systems/core/13-enterprise-agentic-ai-asset-management-2026.md,3,Section default (agentic-systems -> agentic-systems).
docs/agentic-systems/platform/genaiaf-prompt-lifecycle-hotswap-research-2026.md,MIGRATE,genaiaf-prompt-lifecycle-hotswap-research-2026,docs/agentic-systems/core/14-genaiaf-prompt-lifecycle-hotswap-research-2026.md,3,Section default (agentic-systems -> agentic-systems).
docs/agentic-systems/platform/index.md,MERGE-INTO,hub-agentic-systems,docs/agentic-systems/index.md,3,Nested section/subfolder index; one hub per domain rule — folds into hub-agentic-systems.
docs/agentic-systems/skill/00-executive-summary-and-reference-architecture.md,MIGRATE,executive-summary-and-reference-architecture,docs/agentic-systems/core/15-executive-summary-and-reference-architecture.md,3,Section default (agentic-systems -> agentic-systems).
docs/agentic-systems/skill/Agent_Skills_Complete_Playbook_2026.md,MIGRATE,agent-skills-complete-playbook-2026,docs/agentic-systems/core/16-agent-skills-complete-playbook-2026.md,3,Section default (agentic-systems -> agentic-systems).
docs/agentic-systems/skill/a2a_deep_research.md,MIGRATE,a2a-deep-research,docs/agentic-systems/core/17-a2a-deep-research.md,3,Section default (agentic-systems -> agentic-systems).
docs/agentic-systems/skill/coding/01-foundations-what-is-a-coding-skill.md,MIGRATE,foundations-what-is-a-coding-skill,docs/agentic-systems/core/18-foundations-what-is-a-coding-skill.md,3,Section default (agentic-systems -> agentic-systems).
docs/agentic-systems/skill/coding/02-skill-anatomy-and-metadata-schema.md,MERGE-INTO,agent-skill-anatomy-metadata-schema,docs/agentic-systems/core/01-agent-skill-anatomy-metadata-schema.md,3,Identical title/part-number to skill/enterprise/02 (title-normalization scan hit) — folds into the enterprise-scope survivor.
docs/agentic-systems/skill/coding/03-discovery-and-execution-lifecycle.md,MIGRATE,discovery-and-execution-lifecycle,docs/agentic-systems/core/19-discovery-and-execution-lifecycle.md,3,Section default (agentic-systems -> agentic-systems).
docs/agentic-systems/skill/coding/04-skills-tools-mcp-relationship.md,MIGRATE,skills-tools-mcp-relationship,docs/agentic-systems/core/20-skills-tools-mcp-relationship.md,3,Section default (agentic-systems -> agentic-systems).
docs/agentic-systems/skill/coding/05-tool-definitions-and-instructions-engineering.md,MIGRATE,tool-definitions-and-instructions-engineering,docs/agentic-systems/core/21-tool-definitions-and-instructions-engineering.md,3,Section default (agentic-systems -> agentic-systems).
docs/agentic-systems/skill/coding/06-repository-context-engineering.md,MIGRATE,repository-context-engineering,docs/agentic-systems/core/22-repository-context-engineering.md,3,Section default (agentic-systems -> agentic-systems).
docs/agentic-systems/skill/coding/07-vscode-devcontainers-integration.md,MIGRATE,vscode-devcontainers-integration,docs/agentic-systems/core/23-vscode-devcontainers-integration.md,3,Section default (agentic-systems -> agentic-systems).
docs/agentic-systems/skill/coding/08-mcp-integration-and-memory.md,MIGRATE,mcp-integration-and-memory,docs/agentic-systems/core/24-mcp-integration-and-memory.md,3,Section default (agentic-systems -> agentic-systems).
docs/agentic-systems/skill/coding/09-multi-agent-and-observability.md,MIGRATE,multi-agent-and-observability,docs/agentic-systems/core/25-multi-agent-and-observability.md,3,Section default (agentic-systems -> agentic-systems).
